,team,player,pass_outcome,pass_goal_assist,location,pass_end_location,x,y,endx,endy
288,Barcelona,Lionel Andrés Messi Cuccittini,Complete,,"[83.0, 48.0]","[76.0, 60.0]",83.0,48.0,76.0,60.0
294,Barcelona,Lionel Andrés Messi Cuccittini,Complete,,"[89.0, 27.0]","[91.0, 16.0]",89.0,27.0,91.0,16.0
302,Barcelona,Lionel Andrés Messi Cuccittini,Complete,,"[83.0, 51.0]","[112.0, 59.0]",83.0,51.0,112.0,59.0
311,Barcelona,Lionel Andrés Messi Cuccittini,Complete,,"[80.0, 33.0]","[72.0, 26.0]",80.0,33.0,72.0,26.0
330,Barcelona,Lionel Andrés Messi Cuccittini,Complete,,"[77.0, 21.0]","[70.0, 22.0]",77.0,21.0,70.0,22.0
332,Barcelona,Lionel Andrés Messi Cuccittini,Complete,,"[82.0, 28.0]","[80.0, 20.0]",82.0,28.0,80.0,20.0
334,Barcelona,Lionel Andrés Messi Cuccittini,Complete,,"[82.0, 28.0]","[79.0, 43.0]",82.0,28.0,79.0,43.0
354,Barcelona,Lionel Andrés Messi Cuccittini,Complete,,"[49.0, 58.0]","[36.0, 59.0]",49.0,58.0,36.0,59.0
364,Barcelona,Lionel Andrés Messi Cuccittini,Complete,,"[85.0, 77.0]","[73.0, 73.0]",85.0,77.0,73.0,73.0
374,Barcelona,Lionel Andrés Messi Cuccittini,Complete,,"[89.0, 38.0]","[99.0, 37.0]",89.0,38.0,99.0,37.0
416,Barcelona,Lionel Andrés Messi Cuccittini,Complete,,"[58.0, 56.0]","[48.0, 46.0]",58.0,56.0,48.0,46.0
436,Barcelona,Lionel Andrés Messi Cuccittini,Complete,,"[43.0, 46.0]","[41.0, 54.0]",43.0,46.0,41.0,54.0
438,Barcelona,Lionel Andrés Messi Cuccittini,Complete,,"[56.0, 52.0]","[34.0, 54.0]",56.0,52.0,34.0,54.0
